,Area,Area_leaf,Ei,Ei_leaf,clear_sky,daydate,density,incli_base,incli_top,infl,isolated,latitude,lm_slp,phyllotactic_angle,phyllotactic_deviation,plant_area,plant_height,rmax,skew,stage,w0_slp,wl_slp
0,1.0494616343,0.9854906463,0.295776082543,0.308348025791,1.0,1975-07-18,3.0,86.25,23.0,40.0,0.0,43.0,-0.02,233.87,25.5,10000.0,140.0,0.575,0.1,16.0,0.007,0.00595
1,1.0494617388,0.9854908014,0.294321949866,0.30707426673,1.0,1975-07-18,3.0,86.25,23.0,40.0,0.0,43.0,-0.02,233.87,34.5,10000.0,140.0,0.575,0.1,16.0,0.007,0.00595
2,1.0494619218,0.9854913372,0.294132985536,0.307070096808,1.0,1975-07-18,3.0,86.25,23.0,40.0,0.0,43.0,-0.02,233.87,34.5,10000.0,140.0,0.575,0.1,16.0,0.007,0.00805
3,1.0492039309,0.9852332542,0.292394737913,0.305114799039,1.0,1975-07-18,3.0,86.25,17.0,40.0,0.0,43.0,-0.02,233.87,34.5,10000.0,140.0,0.575,0.1,16.0,0.007,0.00805
4,1.0492040709,0.985233349,0.291086989704,0.302974842731,1.0,1975-07-18,3.0,86.25,17.0,40.0,0.0,43.0,-0.02,179.9,34.5,10000.0,140.0,0.575,0.1,16.0,0.007,0.00805
5,1.0491577654,0.9851868222,0.290859209078,0.302733615322,1.0,1975-07-18,3.0,86.25,17.0,40.0,0.0,43.0,-0.02,179.9,34.5,10000.0,140.0,0.575,0.13,16.0,0.007,0.00805
6,1.0468992555,0.9829285252,0.290186063532,0.301910155867,1.0,1975-07-18,3.0,86.25,17.0,28.0,0.0,43.0,-0.02,179.9,34.5,10000.0,140.0,0.575,0.13,16.0,0.007,0.00805
7,1.0476631863,0.9836924262,0.289655216586,0.301358198077,1.0,1975-07-18,3.0,63.75,17.0,28.0,0.0,43.0,-0.02,179.9,34.5,10000.0,140.0,0.575,0.13,16.0,0.007,0.00805
8,1.0476640788,0.9836934858,0.289734441135,0.301377813851,1.0,1975-07-18,3.0,63.75,17.0,28.0,0.0,43.0,-0.02,179.9,34.5,10000.0,140.0,0.575,0.13,16.0,0.01,0.00805
9,1.0469851258,0.98301443,0.289621930275,0.298889286346,1.0,1975-07-18,3.0,63.75,17.0,28.0,0.0,43.0,-0.02,179.9,34.5,10000.0,140.0,0.425,0.13,16.0,0.01,0.00805
