,Area,Area_leaf,Ei,Ei_leaf,clear_sky,daydate,density,incli_base,incli_top,infl,isolated,latitude,lm_slp,phyllotactic_angle,phyllotactic_deviation,plant_area,plant_height,rmax,skew,stage,w0_slp,wl_slp
0,1.0494614572,0.9854904692,0.0952942819332,0.100589609497,1.0,1975-07-18,10.0,86.25,23.0,40.0,0.0,43.0,-0.02,233.87,25.5,10000.0,140.0,0.575,0.1,16.0,0.007,0.00595
1,1.0494618327,0.9854908953,0.0954195497207,0.100876550264,1.0,1975-07-18,10.0,86.25,23.0,40.0,0.0,43.0,-0.02,233.87,34.5,10000.0,140.0,0.575,0.1,16.0,0.007,0.00595
2,1.0494618621,0.9854912775,0.0954145354884,0.100954592444,1.0,1975-07-18,10.0,86.25,23.0,40.0,0.0,43.0,-0.02,233.87,34.5,10000.0,140.0,0.575,0.1,16.0,0.007,0.00805
3,1.0492039384,0.9852332617,0.09535669198,0.100583709041,1.0,1975-07-18,10.0,86.25,17.0,40.0,0.0,43.0,-0.02,233.87,34.5,10000.0,140.0,0.575,0.1,16.0,0.007,0.00805
4,1.0492039786,0.9852332567,0.0954507787689,0.10027963116,1.0,1975-07-18,10.0,86.25,17.0,40.0,0.0,43.0,-0.02,179.9,34.5,10000.0,140.0,0.575,0.1,16.0,0.007,0.00805
5,1.0491580486,0.9851871054,0.0955847565616,0.100432580531,1.0,1975-07-18,10.0,86.25,17.0,40.0,0.0,43.0,-0.02,179.9,34.5,10000.0,140.0,0.575,0.13,16.0,0.007,0.00805
6,1.0468991626,0.9829284323,0.095930116588,0.10100163959,1.0,1975-07-18,10.0,86.25,17.0,28.0,0.0,43.0,-0.02,179.9,34.5,10000.0,140.0,0.575,0.13,16.0,0.007,0.00805
7,1.047662902,0.9836921419,0.0954992482823,0.100600173145,1.0,1975-07-18,10.0,63.75,17.0,28.0,0.0,43.0,-0.02,179.9,34.5,10000.0,140.0,0.575,0.13,16.0,0.007,0.00805
8,1.0476644935,0.9836939005,0.0956893661904,0.100855855421,1.0,1975-07-18,10.0,63.75,17.0,28.0,0.0,43.0,-0.02,179.9,34.5,10000.0,140.0,0.575,0.13,16.0,0.01,0.00805
9,1.0469848647,0.9830141689,0.0958431807752,0.0999824569041,1.0,1975-07-18,10.0,63.75,17.0,28.0,0.0,43.0,-0.02,179.9,34.5,10000.0,140.0,0.425,0.13,16.0,0.01,0.00805
10,1.0476779088,0.9837072884,0.09566820908,0.0997113784145,1.0,1975-07-18,10.0,63.75,17.0,28.0,0.0,43.0,-0.014,179.9,34.5,10000.0,140.0,0.425,0.13,16.0,0.01,0.00805
11,1.0727115566,0.9837075601,0.0933201733079,0.0984722393495,1.0,1975-07-18,10.0,63.75,17.0,28.0,0.0,43.0,-0.014,179.9,34.5,10000.0,200.0,0.425,0.13,16.0,0.01,0.00805
12,1.0848512171,0.9833270697,0.0922486245676,0.0987553407826,1.0,1975-07-18,10.0,63.75,17.0,28.0,0.0,43.0,-0.017,179.9,34.5,10000.0,230.0,0.5,0.1,16.0,0.007,0.0049
13,1.0848535591,0.9833293566,0.0926964620683,0.0992477288242,1.0,1975-07-18,10.0,63.75,17.0,28.0,0.0,43.0,-0.017,179.9,34.5,10000.0,230.0,0.5,0.1,16.0,0.007,0.007
