,Area,Area_leaf,Ei,Ei_leaf,clear_sky,daydate,density,incli_base,incli_top,infl,isolated,latitude,lm_slp,phyllotactic_angle,phyllotactic_deviation,plant_area,plant_height,rmax,skew,stage,w0_slp,wl_slp
0,0.6552651784,0.5912945794,0.188619976426,0.205928168684,1.0,1997-07-09,8.0,86.25,23.0,40.0,0.0,0.0,-0.02,233.87,25.5,6000.0,140.0,0.575,0.1,16.0,0.007,0.00595
1,0.655265245,0.5912946906,0.188253512972,0.205023470407,1.0,1997-07-09,8.0,86.25,23.0,40.0,0.0,0.0,-0.02,233.87,34.5,6000.0,140.0,0.575,0.1,16.0,0.007,0.00595
2,0.6552653359,0.5912946871,0.189007316701,0.206061024857,1.0,1997-07-09,8.0,86.25,23.0,40.0,0.0,0.0,-0.02,233.87,34.5,6000.0,140.0,0.575,0.1,16.0,0.007,0.00805
3,0.6551112663,0.5911406175,0.188260748783,0.204248857078,1.0,1997-07-09,8.0,86.25,17.0,40.0,0.0,0.0,-0.02,233.87,34.5,6000.0,140.0,0.575,0.1,16.0,0.007,0.00805
4,0.6551114899,0.5911407952,0.189149526897,0.203122045934,1.0,1997-07-09,8.0,86.25,17.0,40.0,0.0,0.0,-0.02,179.9,34.5,6000.0,140.0,0.575,0.1,16.0,0.007,0.00805
5,0.6550828523,0.5911122235,0.188707340631,0.20268046376,1.0,1997-07-09,8.0,86.25,17.0,40.0,0.0,0.0,-0.02,179.9,34.5,6000.0,140.0,0.575,0.13,16.0,0.007,0.00805
6,0.6537283545,0.589757412,0.189993062685,0.204502285095,1.0,1997-07-09,8.0,86.25,17.0,28.0,0.0,0.0,-0.02,179.9,34.5,6000.0,140.0,0.575,0.13,16.0,0.007,0.00805
7,0.6541858934,0.5902149937,0.189440239999,0.204096466863,1.0,1997-07-09,8.0,63.75,17.0,28.0,0.0,0.0,-0.02,179.9,34.5,6000.0,140.0,0.575,0.13,16.0,0.007,0.00805
8,0.6541877855,0.5902169569,0.1896913535,0.204352035382,1.0,1997-07-09,8.0,63.75,17.0,28.0,0.0,0.0,-0.02,179.9,34.5,6000.0,140.0,0.575,0.13,16.0,0.01,0.00805
9,0.6537790729,0.5898082011,0.189168706071,0.200485826012,1.0,1997-07-09,8.0,63.75,17.0,28.0,0.0,0.0,-0.02,179.9,34.5,6000.0,140.0,0.425,0.13,16.0,0.01,0.00805
10,0.6541951312,0.5902244407,0.189437593086,0.200880029972,1.0,1997-07-09,8.0,63.75,17.0,28.0,0.0,0.0,-0.014,179.9,34.5,6000.0,140.0,0.425,0.13,16.0,0.01,0.00805
11,0.679228684,0.5902247118,0.182489139369,0.196585991767,1.0,1997-07-09,8.0,63.75,17.0,28.0,0.0,0.0,-0.014,179.9,34.5,6000.0,200.0,0.425,0.13,16.0,0.01,0.00805
12,0.6915210269,0.5899966789,0.17906374388,0.196617743594,1.0,1997-07-09,8.0,63.75,17.0,28.0,0.0,0.0,-0.017,179.9,34.5,6000.0,230.0,0.5,0.1,16.0,0.007,0.0049
13,0.6915211765,0.589996633,0.17957283225,0.197417979586,1.0,1997-07-09,8.0,63.75,17.0,28.0,0.0,0.0,-0.017,179.9,34.5,6000.0,230.0,0.5,0.1,16.0,0.007,0.007
14,0.6942486492,0.5927245388,0.178284070548,0.194758797032,1.0,1997-07-09,8.0,63.75,17.0,40.0,0.0,0.0,-0.017,179.9,34.5,6000.0,230.0,0.5,0.1,16.0,0.007,0.007
15,0.6938402735,0.5923161288,0.178986864475,0.188610861195,1.0,1997-07-09,8.0,63.75,17.0,40.0,0.0,0.0,-0.017,179.9,34.5,6000.0,230.0,0.35,0.1,16.0,0.007,0.007
16,0.6938018377,0.5922774461,0.179042395638,0.187327938738,1.0,1997-07-09,8.0,63.75,17.0,40.0,0.0,0.0,-0.017,179.9,34.5,6000.0,230.0,0.35,0.07,16.0,0.007,0.007
17,0.6917601279,0.5902361904,0.179766598895,0.18847383341,1.0,1997-07-09,8.0,86.25,17.0,40.0,0.0,0.0,-0.017,179.9,34.5,6000.0,230.0,0.35,0.07,16.0,0.007,0.007
18,0.6917602701,0.5902363144,0.179764012804,0.188467155604,1.0,1997-07-09,8.0,86.25,17.0,40.0,0.0,0.0,-0.017,179.9,25.5,6000.0,230.0,0.35,0.07,16.0,0.007,0.007
19,0.6918864046,0.5903624489,0.179159047238,0.187958764554,1.0,1997-07-09,8.0,86.25,23.0,40.0,0.0,0.0,-0.017,179.9,25.5,6000.0,230.0,0.35,0.07,16.0,0.007,0.007
