,Area,Area_leaf,Ei,Ei_leaf,clear_sky,daydate,density,incli_base,incli_top,infl,isolated,latitude,lm_slp,phyllotactic_angle,phyllotactic_deviation,plant_area,plant_height,rmax,skew,stage,w0_slp,wl_slp
0,0.8523635434,0.78839273,0.130179188472,0.138221676899,1.0,2018-06-01,9.0,86.25,23.0,40.0,0.0,45.0,-0.02,233.87,25.5,8000.0,140.0,0.575,0.1,16.0,0.007,0.00595
1,0.8523637652,0.7883929889,0.129971310532,0.138018281029,1.0,2018-06-01,9.0,86.25,23.0,40.0,0.0,45.0,-0.02,233.87,34.5,8000.0,140.0,0.575,0.1,16.0,0.007,0.00595
2,0.8523641823,0.7883935736,0.130189149521,0.138365745761,1.0,2018-06-01,9.0,86.25,23.0,40.0,0.0,45.0,-0.02,233.87,34.5,8000.0,140.0,0.575,0.1,16.0,0.007,0.00805
3,0.8521578289,0.7881869547,0.130005966363,0.138163028354,1.0,2018-06-01,9.0,86.25,17.0,40.0,0.0,45.0,-0.02,233.87,34.5,8000.0,140.0,0.575,0.1,16.0,0.007,0.00805
4,0.8521581268,0.7881872125,0.130668761004,0.138258399139,1.0,2018-06-01,9.0,86.25,17.0,40.0,0.0,45.0,-0.02,179.9,34.5,8000.0,140.0,0.575,0.1,16.0,0.007,0.00805
5,0.8521197594,0.7881491409,0.130456236346,0.137989471073,1.0,2018-06-01,9.0,86.25,17.0,40.0,0.0,45.0,-0.02,179.9,34.5,8000.0,140.0,0.575,0.13,16.0,0.007,0.00805
6,0.8503140915,0.7863434002,0.13075283434,0.139163661744,1.0,2018-06-01,9.0,86.25,17.0,28.0,0.0,45.0,-0.02,179.9,34.5,8000.0,140.0,0.575,0.13,16.0,0.007,0.00805
7,0.8509253366,0.7869545274,0.130457122864,0.138830199692,1.0,2018-06-01,9.0,63.75,17.0,28.0,0.0,45.0,-0.02,179.9,34.5,8000.0,140.0,0.575,0.13,16.0,0.007,0.00805
8,0.8509259185,0.7869553583,0.130576921628,0.139064027621,1.0,2018-06-01,9.0,63.75,17.0,28.0,0.0,45.0,-0.02,179.9,34.5,8000.0,140.0,0.575,0.13,16.0,0.01,0.00805
9,0.8503821309,0.7864111895,0.13073522912,0.13743137728,1.0,2018-06-01,9.0,63.75,17.0,28.0,0.0,45.0,-0.02,179.9,34.5,8000.0,140.0,0.425,0.13,16.0,0.01,0.00805
