,Area,Area_leaf,Ei,Ei_leaf,clear_sky,daydate,density,incli_base,incli_top,infl,isolated,latitude,lm_slp,phyllotactic_angle,phyllotactic_deviation,plant_area,plant_height,rmax,skew,stage,w0_slp,wl_slp
0,0.6552651784,0.5912945794,0.188903114568,0.202142678033,1.0,1997-07-09,8.0,86.25,23.0,40.0,0.0,60.0,-0.02,233.87,25.5,6000.0,140.0,0.575,0.1,16.0,0.007,0.00595
1,0.655265245,0.5912946906,0.189077152412,0.202069605118,1.0,1997-07-09,8.0,86.25,23.0,40.0,0.0,60.0,-0.02,233.87,34.5,6000.0,140.0,0.575,0.1,16.0,0.007,0.00595
2,0.6552653359,0.5912946871,0.189146188428,0.202495815075,1.0,1997-07-09,8.0,86.25,23.0,40.0,0.0,60.0,-0.02,233.87,34.5,6000.0,140.0,0.575,0.1,16.0,0.007,0.00805
3,0.6551112663,0.5911406175,0.18830950663,0.200396851017,1.0,1997-07-09,8.0,86.25,17.0,40.0,0.0,60.0,-0.02,233.87,34.5,6000.0,140.0,0.575,0.1,16.0,0.007,0.00805
4,0.6551114899,0.5911407952,0.190189400124,0.202618930874,1.0,1997-07-09,8.0,86.25,17.0,40.0,0.0,60.0,-0.02,179.9,34.5,6000.0,140.0,0.575,0.1,16.0,0.007,0.00805
5,0.6550828523,0.5911122235,0.190173897113,0.202652621708,1.0,1997-07-09,8.0,86.25,17.0,40.0,0.0,60.0,-0.02,179.9,34.5,6000.0,140.0,0.575,0.13,16.0,0.007,0.00805
6,0.6537283545,0.589757412,0.189795301561,0.203014162762,1.0,1997-07-09,8.0,86.25,17.0,28.0,0.0,60.0,-0.02,179.9,34.5,6000.0,140.0,0.575,0.13,16.0,0.007,0.00805
7,0.6541858934,0.5902149937,0.189931960952,0.203426425186,1.0,1997-07-09,8.0,63.75,17.0,28.0,0.0,60.0,-0.02,179.9,34.5,6000.0,140.0,0.575,0.13,16.0,0.007,0.00805
8,0.6541877855,0.5902169569,0.189890123204,0.203334679903,1.0,1997-07-09,8.0,63.75,17.0,28.0,0.0,60.0,-0.02,179.9,34.5,6000.0,140.0,0.575,0.13,16.0,0.01,0.00805
9,0.6537790729,0.5898082011,0.189984873298,0.199436598261,1.0,1997-07-09,8.0,63.75,17.0,28.0,0.0,60.0,-0.02,179.9,34.5,6000.0,140.0,0.425,0.13,16.0,0.01,0.00805
10,0.6541951312,0.5902244407,0.190256701163,0.199864988675,1.0,1997-07-09,8.0,63.75,17.0,28.0,0.0,60.0,-0.014,179.9,34.5,6000.0,140.0,0.425,0.13,16.0,0.01,0.00805
11,0.679228684,0.5902247118,0.1838582936,0.195177154638,1.0,1997-07-09,8.0,63.75,17.0,28.0,0.0,60.0,-0.014,179.9,34.5,6000.0,200.0,0.425,0.13,16.0,0.01,0.00805
