,Area,Area_leaf,Ei,Ei_leaf,clear_sky,daydate,density,incli_base,incli_top,infl,isolated,latitude,lm_slp,phyllotactic_angle,phyllotactic_deviation,plant_area,plant_height,rmax,skew,stage,w0_slp,wl_slp
0,0.4581671369,0.3941962624,0.473189259038,0.522269263549,1.0,1975-07-18,3.0,86.25,23.0,40.0,0.0,43.0,-0.02,233.87,25.5,4000.0,140.0,0.575,0.1,16.0,0.007,0.00595
1,0.4581667667,0.3941959296,0.468208098871,0.5164589676,1.0,1975-07-18,3.0,86.25,23.0,40.0,0.0,43.0,-0.02,233.87,34.5,4000.0,140.0,0.575,0.1,16.0,0.007,0.00595
2,0.4581672208,0.394196311,0.465524157634,0.513609730231,1.0,1975-07-18,3.0,86.25,23.0,40.0,0.0,43.0,-0.02,233.87,34.5,4000.0,140.0,0.575,0.1,16.0,0.007,0.00805
3,0.4580645239,0.3940936105,0.460592362783,0.507873403876,1.0,1975-07-18,3.0,86.25,17.0,40.0,0.0,43.0,-0.02,233.87,34.5,4000.0,140.0,0.575,0.1,16.0,0.007,0.00805
4,0.4580645844,0.3940936255,0.46031160003,0.503408205093,1.0,1975-07-18,3.0,86.25,17.0,40.0,0.0,43.0,-0.02,179.9,34.5,4000.0,140.0,0.575,0.1,16.0,0.007,0.00805
5,0.458045851,0.3940752356,0.45848543688,0.501283166137,1.0,1975-07-18,3.0,86.25,17.0,40.0,0.0,43.0,-0.02,179.9,34.5,4000.0,140.0,0.575,0.13,16.0,0.007,0.00805
6,0.4571426367,0.3931718888,0.451500354632,0.49368000046,1.0,1975-07-18,3.0,86.25,17.0,28.0,0.0,43.0,-0.02,179.9,34.5,4000.0,140.0,0.575,0.13,16.0,0.007,0.00805
7,0.4574471425,0.3934763356,0.454084652324,0.496642469144,1.0,1975-07-18,3.0,63.75,17.0,28.0,0.0,43.0,-0.02,179.9,34.5,4000.0,140.0,0.575,0.13,16.0,0.007,0.00805
8,0.4574483458,0.3934773814,0.453537042997,0.496052186698,1.0,1975-07-18,3.0,63.75,17.0,28.0,0.0,43.0,-0.02,179.9,34.5,4000.0,140.0,0.575,0.13,16.0,0.01,0.00805
9,0.45717629,0.3932054614,0.449725724481,0.487849976605,1.0,1975-07-18,3.0,63.75,17.0,28.0,0.0,43.0,-0.02,179.9,34.5,4000.0,140.0,0.425,0.13,16.0,0.01,0.00805
10,0.4574535673,0.3934829767,0.450198556051,0.488426653221,1.0,1975-07-18,3.0,63.75,17.0,28.0,0.0,43.0,-0.014,179.9,34.5,4000.0,140.0,0.425,0.13,16.0,0.01,0.00805
11,0.4824868439,0.3934829312,0.441756384993,0.490603701796,1.0,1975-07-18,3.0,63.75,17.0,28.0,0.0,43.0,-0.014,179.9,34.5,4000.0,200.0,0.425,0.13,16.0,0.01,0.00805
12,0.4948545637,0.3933301206,0.43071774014,0.485381779447,1.0,1975-07-18,3.0,63.75,17.0,28.0,0.0,43.0,-0.017,179.9,34.5,4000.0,230.0,0.5,0.1,16.0,0.007,0.0049
13,0.4948556557,0.3933314512,0.430067470892,0.48503375231,1.0,1975-07-18,3.0,63.75,17.0,28.0,0.0,43.0,-0.017,179.9,34.5,4000.0,230.0,0.5,0.1,16.0,0.007,0.007
14,0.4966747837,0.3951503206,0.441078135147,0.497523690415,1.0,1975-07-18,3.0,63.75,17.0,40.0,0.0,43.0,-0.017,179.9,34.5,4000.0,230.0,0.5,0.1,16.0,0.007,0.007
15,0.4964016306,0.3948774277,0.448021038237,0.499259125294,1.0,1975-07-18,3.0,63.75,17.0,40.0,0.0,43.0,-0.017,179.9,34.5,4000.0,230.0,0.35,0.1,16.0,0.007,0.007
16,0.4963764622,0.3948521083,0.449837684,0.50074125718,1.0,1975-07-18,3.0,63.75,17.0,40.0,0.0,43.0,-0.017,179.9,34.5,4000.0,230.0,0.35,0.07,16.0,0.007,0.007
17,0.4950154522,0.3934911867,0.43428552003,0.481521338851,1.0,1975-07-18,3.0,86.25,17.0,40.0,0.0,43.0,-0.017,179.9,34.5,4000.0,230.0,0.35,0.07,16.0,0.007,0.007
18,0.4950155425,0.3934912591,0.431836448249,0.478036173704,1.0,1975-07-18,3.0,86.25,17.0,40.0,0.0,43.0,-0.017,179.9,25.5,4000.0,230.0,0.35,0.07,16.0,0.007,0.007
19,0.495099624,0.3935753406,0.43058367595,0.47677398403,1.0,1975-07-18,3.0,86.25,23.0,40.0,0.0,43.0,-0.017,179.9,25.5,4000.0,230.0,0.35,0.07,16.0,0.007,0.007
20,0.4950893002,0.3935648998,0.430733319879,0.476889730646,1.0,1975-07-18,3.0,86.25,23.0,40.0,0.0,43.0,-0.017,179.9,25.5,4000.0,230.0,0.35,0.07,16.0,0.01,0.007
21,0.4945023207,0.3929778402,0.431264663196,0.477861729519,1.0,1975-07-18,3.0,86.25,23.0,40.0,0.0,43.0,-0.023,179.9,25.5,4000.0,230.0,0.35,0.07,16.0,0.01,0.007
22,0.4694639132,0.3929777853,0.447410607641,0.486867569173,1.0,1975-07-18,3.0,86.25,23.0,40.0,0.0,43.0,-0.023,179.9,25.5,4000.0,170.0,0.35,0.07,16.0,0.01,0.007
23,0.4694639322,0.392977801,0.455200110888,0.500214865821,1.0,1975-07-18,3.0,86.25,23.0,40.0,0.0,43.0,-0.023,233.87,25.5,4000.0,170.0,0.35,0.07,16.0,0.01,0.007
24,0.482177342,0.3931731593,0.452631809485,0.51092053981,1.0,1975-07-18,3.0,97.5,26.0,40.0,0.0,43.0,-0.02,125.93,30.0,4000.0,200.0,0.5,0.07,16.0,0.007,0.00805
25,0.4821849743,0.3931808335,0.45181074865,0.510240639924,1.0,1975-07-18,3.0,97.5,26.0,40.0,0.0,43.0,-0.02,125.93,30.0,4000.0,200.0,0.5,0.1,16.0,0.007,0.00805
26,0.4820766047,0.3930724266,0.451838312905,0.510568942517,1.0,1975-07-18,3.0,97.5,26.0,40.0,0.0,43.0,-0.026,125.93,30.0,4000.0,200.0,0.5,0.1,16.0,0.007,0.00805
27,0.482355058,0.3933509818,0.457041246468,0.522270328368,1.0,1975-07-18,3.0,97.5,26.0,40.0,0.0,43.0,-0.026,125.93,30.0,4000.0,200.0,0.65,0.1,16.0,0.007,0.00805
28,0.4830112579,0.3940072358,0.466471987031,0.533094883776,1.0,1975-07-18,3.0,97.5,26.0,52.0,0.0,43.0,-0.026,125.93,30.0,4000.0,200.0,0.65,0.1,16.0,0.007,0.00805
29,0.4830112004,0.3940071636,0.451568243247,0.510041256224,1.0,1975-07-18,3.0,97.5,26.0,52.0,0.0,43.0,-0.026,179.9,30.0,4000.0,200.0,0.65,0.1,16.0,0.007,0.00805
30,0.4835069067,0.3945025665,0.451720637264,0.510026548818,1.0,1975-07-18,3.0,97.5,26.0,52.0,0.0,43.0,-0.026,179.9,30.0,4000.0,200.0,0.65,0.1,16.0,0.01,0.00805
31,0.4584738604,0.394502924,0.469353818745,0.515665911169,1.0,1975-07-18,3.0,97.5,26.0,52.0,0.0,43.0,-0.026,179.9,30.0,4000.0,140.0,0.65,0.1,16.0,0.01,0.00805
32,0.4588199651,0.3948491785,0.468628005383,0.514542437565,1.0,1975-07-18,3.0,75.0,26.0,52.0,0.0,43.0,-0.026,179.9,30.0,4000.0,140.0,0.65,0.1,16.0,0.01,0.00805
33,0.4588197524,0.3948487986,0.470148443808,0.515801905654,1.0,1975-07-18,3.0,75.0,26.0,52.0,0.0,43.0,-0.026,179.9,30.0,4000.0,140.0,0.65,0.1,16.0,0.01,0.00595
34,0.4588505357,0.3948795819,0.454287517823,0.496625676336,1.0,1975-07-18,3.0,75.0,20.0,52.0,0.0,43.0,-0.026,179.9,30.0,4000.0,140.0,0.65,0.1,16.0,0.01,0.00595
35,0.4588507007,0.3948797369,0.452771300504,0.493956336685,1.0,1975-07-18,3.0,75.0,20.0,52.0,0.0,43.0,-0.026,179.9,21.0,4000.0,140.0,0.65,0.1,16.0,0.01,0.00595
36,0.4833194665,0.3943152514,0.445610478203,0.496459738888,1.0,1975-07-18,3.0,86.25,14.0,46.0,0.0,43.0,-0.026,179.9,30.0,4000.0,200.0,0.5,0.1,16.0,0.01,0.007
37,0.4824550568,0.393450799,0.4382762064,0.488267751057,1.0,1975-07-18,3.0,86.25,14.0,34.0,0.0,43.0,-0.026,179.9,30.0,4000.0,200.0,0.5,0.1,16.0,0.01,0.007
38,0.4822536897,0.3932494319,0.443141128412,0.494031661292,1.0,1975-07-18,3.0,86.25,20.0,34.0,0.0,43.0,-0.026,179.9,30.0,4000.0,200.0,0.5,0.1,16.0,0.01,0.007
39,0.457220598,0.3932496651,0.457155258487,0.497491751481,1.0,1975-07-18,3.0,86.25,20.0,34.0,0.0,43.0,-0.026,179.9,30.0,4000.0,140.0,0.5,0.1,16.0,0.01,0.007
40,0.4576877268,0.3937171784,0.461404668777,0.50235746634,1.0,1975-07-18,3.0,63.75,20.0,34.0,0.0,43.0,-0.026,179.9,30.0,4000.0,140.0,0.5,0.1,16.0,0.01,0.007
41,0.4576879286,0.3937173542,0.463678295755,0.505745921754,1.0,1975-07-18,3.0,63.75,20.0,34.0,0.0,43.0,-0.026,179.9,39.0,4000.0,140.0,0.5,0.1,16.0,0.01,0.007
42,0.4574055427,0.3934347891,0.467695916685,0.505927484796,1.0,1975-07-18,3.0,63.75,20.0,34.0,0.0,43.0,-0.026,179.9,39.0,4000.0,140.0,0.35,0.1,16.0,0.01,0.007
43,0.4574052261,0.3934345681,0.471471661383,0.510145653009,1.0,1975-07-18,3.0,63.75,20.0,34.0,0.0,43.0,-0.026,179.9,39.0,4000.0,140.0,0.35,0.1,16.0,0.01,0.0049
44,0.4574052385,0.3934346002,0.458281931581,0.499594452988,1.0,1975-07-18,3.0,63.75,20.0,34.0,0.0,43.0,-0.026,233.87,39.0,4000.0,140.0,0.35,0.1,16.0,0.01,0.0049
45,0.4574548987,0.3934839384,0.457785020849,0.499110552975,1.0,1975-07-18,3.0,63.75,20.0,34.0,0.0,43.0,-0.026,233.87,39.0,4000.0,140.0,0.35,0.1,16.0,0.013,0.0049
46,0.457482501,0.3935118335,0.45688898164,0.498454155224,1.0,1975-07-18,3.0,63.75,20.0,34.0,0.0,43.0,-0.026,233.87,39.0,4000.0,140.0,0.35,0.13,16.0,0.013,0.0049
47,0.4578063651,0.393835663,0.457218375468,0.49878618438,1.0,1975-07-18,3.0,63.75,20.0,34.0,0.0,43.0,-0.02,233.87,39.0,4000.0,140.0,0.35,0.13,16.0,0.013,0.0049
48,0.4834223727,0.3944179501,0.46397423257,0.521357194892,1.0,1975-07-18,3.0,75.0,23.0,46.0,0.0,43.0,-0.02,125.93,21.0,4000.0,200.0,0.425,0.1,16.0,0.0085,0.007
49,0.4834222283,0.3944178325,0.463038432723,0.519850527465,1.0,1975-07-18,3.0,75.0,23.0,46.0,0.0,43.0,-0.02,125.93,30.0,4000.0,200.0,0.425,0.1,16.0,0.0085,0.007
50,0.482390785,0.3933867449,0.454131207046,0.509289561036,1.0,1975-07-18,3.0,75.0,23.0,34.0,0.0,43.0,-0.02,125.93,30.0,4000.0,200.0,0.425,0.1,16.0,0.0085,0.007
51,0.457357708,0.3933869705,0.464477010204,0.508346053756,1.0,1975-07-18,3.0,75.0,23.0,34.0,0.0,43.0,-0.02,125.93,30.0,4000.0,140.0,0.425,0.1,16.0,0.0085,0.007
52,0.4574031239,0.3934323949,0.464178324104,0.508109622707,1.0,1975-07-18,3.0,75.0,23.0,34.0,0.0,43.0,-0.02,125.93,30.0,4000.0,140.0,0.425,0.1,16.0,0.0115,0.007
53,0.4573710077,0.3934004403,0.462881033044,0.506111304839,1.0,1975-07-18,3.0,75.0,23.0,34.0,0.0,43.0,-0.02,125.93,30.0,4000.0,140.0,0.425,0.07,16.0,0.0115,0.007
54,0.4576397254,0.3936689347,0.474922666785,0.525011969299,1.0,1975-07-18,3.0,75.0,23.0,34.0,0.0,43.0,-0.02,125.93,30.0,4000.0,140.0,0.575,0.07,16.0,0.0115,0.007
55,0.4583676889,0.3943968724,0.477575498679,0.528241419649,1.0,1975-07-18,3.0,52.5,23.0,34.0,0.0,43.0,-0.02,125.93,30.0,4000.0,140.0,0.575,0.07,16.0,0.0115,0.007
56,0.458367502,0.3943967948,0.475333552717,0.525904181849,1.0,1975-07-18,3.0,52.5,23.0,34.0,0.0,43.0,-0.02,125.93,30.0,4000.0,140.0,0.575,0.07,16.0,0.0115,0.0091
57,0.4583674989,0.3943967855,0.464775808712,0.508359435667,1.0,1975-07-18,3.0,52.5,23.0,34.0,0.0,43.0,-0.02,179.9,30.0,4000.0,140.0,0.575,0.07,16.0,0.0115,0.0091
58,0.4585256313,0.3945549179,0.455074517264,0.496894192988,1.0,1975-07-18,3.0,52.5,17.0,34.0,0.0,43.0,-0.02,179.9,30.0,4000.0,140.0,0.575,0.07,16.0,0.0115,0.0091
