,Area,Area_leaf,Ei,Ei_leaf,clear_sky,daydate,density,incli_base,incli_top,infl,isolated,latitude,lm_slp,phyllotactic_angle,phyllotactic_deviation,plant_area,plant_height,rmax,skew,stage,w0_slp,wl_slp
0,0.8523635223,0.7883927089,0.0902451888247,0.0965572588343,1.0,2018-06-01,13.0,86.25,23.0,40.0,0.0,45.0,-0.02,233.87,25.5,8000.0,140.0,0.575,0.1,16.0,0.007,0.00595
1,0.8523637382,0.7883929619,0.0904951434875,0.0971756027273,1.0,2018-06-01,13.0,86.25,23.0,40.0,0.0,45.0,-0.02,233.87,34.5,8000.0,140.0,0.575,0.1,16.0,0.007,0.00595
2,0.8523642285,0.7883936198,0.0903021493575,0.0970558832748,1.0,2018-06-01,13.0,86.25,23.0,40.0,0.0,45.0,-0.02,233.87,34.5,8000.0,140.0,0.575,0.1,16.0,0.007,0.00805
3,0.8521579231,0.7881870489,0.090485182758,0.0968928595769,1.0,2018-06-01,13.0,86.25,17.0,40.0,0.0,45.0,-0.02,233.87,34.5,8000.0,140.0,0.575,0.1,16.0,0.007,0.00805
4,0.8521582497,0.7881873354,0.0906427598782,0.0963864076098,1.0,2018-06-01,13.0,86.25,17.0,40.0,0.0,45.0,-0.02,179.9,34.5,8000.0,140.0,0.575,0.1,16.0,0.007,0.00805
5,0.8521195997,0.7881489812,0.0906289641987,0.0963851051218,1.0,2018-06-01,13.0,86.25,17.0,40.0,0.0,45.0,-0.02,179.9,34.5,8000.0,140.0,0.575,0.13,16.0,0.007,0.00805
6,0.8503141124,0.7863434211,0.0908839109964,0.0972876781974,1.0,2018-06-01,13.0,86.25,17.0,28.0,0.0,45.0,-0.02,179.9,34.5,8000.0,140.0,0.575,0.13,16.0,0.007,0.00805
7,0.8509252995,0.7869544903,0.0903614342566,0.0967432283444,1.0,2018-06-01,13.0,63.75,17.0,28.0,0.0,45.0,-0.02,179.9,34.5,8000.0,140.0,0.575,0.13,16.0,0.007,0.00805
8,0.8509258555,0.7869552953,0.090379561163,0.0967472994031,1.0,2018-06-01,13.0,63.75,17.0,28.0,0.0,45.0,-0.02,179.9,34.5,8000.0,140.0,0.575,0.13,16.0,0.01,0.00805
9,0.8503820521,0.7864111107,0.0907147564774,0.096153157486,1.0,2018-06-01,13.0,63.75,17.0,28.0,0.0,45.0,-0.02,179.9,34.5,8000.0,140.0,0.425,0.13,16.0,0.01,0.00805
10,0.8509369102,0.7869659341,0.0905137488121,0.0959925967585,1.0,2018-06-01,13.0,63.75,17.0,28.0,0.0,45.0,-0.014,179.9,34.5,8000.0,140.0,0.425,0.13,16.0,0.01,0.00805
11,0.8759701613,0.7869657505,0.0878730644199,0.0946564628632,1.0,2018-06-01,13.0,63.75,17.0,28.0,0.0,45.0,-0.014,179.9,34.5,8000.0,200.0,0.425,0.13,16.0,0.01,0.00805
12,0.8881867039,0.7866625519,0.0868864795527,0.0952025142949,1.0,2018-06-01,13.0,63.75,17.0,28.0,0.0,45.0,-0.017,179.9,34.5,8000.0,230.0,0.5,0.1,16.0,0.007,0.0049
13,0.8881863878,0.7866620295,0.0869794442602,0.0954054379449,1.0,2018-06-01,13.0,63.75,17.0,28.0,0.0,45.0,-0.017,179.9,34.5,8000.0,230.0,0.5,0.1,16.0,0.007,0.007
14,0.8918243783,0.7903003637,0.0866069927653,0.0933952745254,1.0,2018-06-01,13.0,63.75,17.0,40.0,0.0,45.0,-0.017,179.9,34.5,8000.0,230.0,0.5,0.1,16.0,0.007,0.007
15,0.8912802063,0.7897559517,0.0865238856149,0.0901957127528,1.0,2018-06-01,13.0,63.75,17.0,40.0,0.0,45.0,-0.017,179.9,34.5,8000.0,230.0,0.35,0.1,16.0,0.007,0.007
16,0.8912273181,0.7897030062,0.0862897294063,0.0892833498315,1.0,2018-06-01,13.0,63.75,17.0,40.0,0.0,45.0,-0.017,179.9,34.5,8000.0,230.0,0.35,0.07,16.0,0.007,0.007
17,0.888506259,0.7869822603,0.0870648372787,0.0905341658423,1.0,2018-06-01,13.0,86.25,17.0,40.0,0.0,45.0,-0.017,179.9,34.5,8000.0,230.0,0.35,0.07,16.0,0.007,0.007
18,0.888506217,0.7869822008,0.0870676860124,0.0902011514339,1.0,2018-06-01,13.0,86.25,17.0,40.0,0.0,45.0,-0.017,179.9,25.5,8000.0,230.0,0.35,0.07,16.0,0.007,0.007
