,Area,Area_leaf,Ei,Ei_leaf,clear_sky,daydate,density,incli_base,incli_top,infl,isolated,latitude,lm_slp,phyllotactic_angle,phyllotactic_deviation,plant_area,plant_height,rmax,skew,stage,w0_slp,wl_slp
0,0.6552651784,0.5912945794,0.187344896897,0.202017306375,1.0,1997-07-09,8.0,86.25,23.0,40.0,0.0,45.0,-0.02,233.87,25.5,6000.0,140.0,0.575,0.1,16.0,0.007,0.00595
1,0.655265245,0.5912946906,0.187382441654,0.202970653546,1.0,1997-07-09,8.0,86.25,23.0,40.0,0.0,45.0,-0.02,233.87,34.5,6000.0,140.0,0.575,0.1,16.0,0.007,0.00595
2,0.6552653359,0.5912946871,0.186850825795,0.202894908473,1.0,1997-07-09,8.0,86.25,23.0,40.0,0.0,45.0,-0.02,233.87,34.5,6000.0,140.0,0.575,0.1,16.0,0.007,0.00805
3,0.6551112663,0.5911406175,0.186826986082,0.200899509241,1.0,1997-07-09,8.0,86.25,17.0,40.0,0.0,45.0,-0.02,233.87,34.5,6000.0,140.0,0.575,0.1,16.0,0.007,0.00805
4,0.6551114899,0.5911407952,0.189366536934,0.203372177266,1.0,1997-07-09,8.0,86.25,17.0,40.0,0.0,45.0,-0.02,179.9,34.5,6000.0,140.0,0.575,0.1,16.0,0.007,0.00805
5,0.6550828523,0.5911122235,0.189871991789,0.204030809258,1.0,1997-07-09,8.0,86.25,17.0,40.0,0.0,45.0,-0.02,179.9,34.5,6000.0,140.0,0.575,0.13,16.0,0.007,0.00805
6,0.6537283545,0.589757412,0.188930426611,0.203618506979,1.0,1997-07-09,8.0,86.25,17.0,28.0,0.0,45.0,-0.02,179.9,34.5,6000.0,140.0,0.575,0.13,16.0,0.007,0.00805
7,0.6541858934,0.5902149937,0.189032478679,0.203825423504,1.0,1997-07-09,8.0,63.75,17.0,28.0,0.0,45.0,-0.02,179.9,34.5,6000.0,140.0,0.575,0.13,16.0,0.007,0.00805
8,0.6541877855,0.5902169569,0.18937356535,0.20420979461,1.0,1997-07-09,8.0,63.75,17.0,28.0,0.0,45.0,-0.02,179.9,34.5,6000.0,140.0,0.575,0.13,16.0,0.01,0.00805
9,0.6537790729,0.5898082011,0.189735270507,0.201724166072,1.0,1997-07-09,8.0,63.75,17.0,28.0,0.0,45.0,-0.02,179.9,34.5,6000.0,140.0,0.425,0.13,16.0,0.01,0.00805
10,0.6541951312,0.5902244407,0.189646544623,0.20163295916,1.0,1997-07-09,8.0,63.75,17.0,28.0,0.0,45.0,-0.014,179.9,34.5,6000.0,140.0,0.425,0.13,16.0,0.01,0.00805
11,0.679228684,0.5902247118,0.182355050232,0.195787365758,1.0,1997-07-09,8.0,63.75,17.0,28.0,0.0,45.0,-0.014,179.9,34.5,6000.0,200.0,0.425,0.13,16.0,0.01,0.00805
12,0.6915210269,0.5899966789,0.178785201463,0.196174976956,1.0,1997-07-09,8.0,63.75,17.0,28.0,0.0,45.0,-0.017,179.9,34.5,6000.0,230.0,0.5,0.1,16.0,0.007,0.0049
13,0.6915211765,0.589996633,0.178436973146,0.195824779072,1.0,1997-07-09,8.0,63.75,17.0,28.0,0.0,45.0,-0.017,179.9,34.5,6000.0,230.0,0.5,0.1,16.0,0.007,0.007
