,Eabs,Ei,area,clear_sky,density,incli_base,incli_top,infl,isolated,lm_slp,phyllotactic_angle,phyllotactic_deviation,plant_area,plant_height,rmax,skew,w0_slp,wl_slp
0,0.000572397611103,0.000657928288624,0.0208400136,1.0,7.0,86.25,23.0,40.0,0.0,-0.02,233.87,25.5,6000.0,140.0,0.575,0.1,0.007,0.00595
0,0.0257036292457,0.0295444014318,0.0248868024,1.0,7.0,86.25,23.0,40.0,0.0,-0.02,233.87,25.5,6000.0,140.0,0.575,0.1,0.007,0.00595
0,0.0342599799363,0.0393792872831,0.0293413396,1.0,7.0,86.25,23.0,40.0,0.0,-0.02,233.87,25.5,6000.0,140.0,0.575,0.1,0.007,0.00595
0,0.0185455289578,0.0213166999515,0.0341155503,1.0,7.0,86.25,23.0,40.0,0.0,-0.02,233.87,25.5,6000.0,140.0,0.575,0.1,0.007,0.00595
0,0.0877904735187,0.100908590251,0.0389115884,1.0,7.0,86.25,23.0,40.0,0.0,-0.02,233.87,25.5,6000.0,140.0,0.575,0.1,0.007,0.00595
0,0.0345499138389,0.0397125446424,0.0434407791,1.0,7.0,86.25,23.0,40.0,0.0,-0.02,233.87,25.5,6000.0,140.0,0.575,0.1,0.007,0.00595
0,0.0899629948573,0.103405741215,0.0472864276,1.0,7.0,86.25,23.0,40.0,0.0,-0.02,233.87,25.5,6000.0,140.0,0.575,0.1,0.007,0.00595
0,0.15152132759,0.174162445505,0.0500155795,1.0,7.0,86.25,23.0,40.0,0.0,-0.02,233.87,25.5,6000.0,140.0,0.575,0.1,0.007,0.00595
0,0.0887518881979,0.102013664595,0.0512519118,1.0,7.0,86.25,23.0,40.0,0.0,-0.02,233.87,25.5,6000.0,140.0,0.575,0.1,0.007,0.00595
0,0.161964576769,0.186166180194,0.0505885978,1.0,7.0,86.25,23.0,40.0,0.0,-0.02,233.87,25.5,6000.0,140.0,0.575,0.1,0.007,0.00595
0,0.313641508884,0.360507481475,0.0481919066,1.0,7.0,86.25,23.0,40.0,0.0,-0.02,233.87,25.5,6000.0,140.0,0.575,0.1,0.007,0.00595
0,0.292442019,0.336140251724,0.0438447895,1.0,7.0,86.25,23.0,40.0,0.0,-0.02,233.87,25.5,6000.0,140.0,0.575,0.1,0.007,0.00595
0,0.403654044832,0.463970166474,0.0383375756,1.0,7.0,86.25,23.0,40.0,0.0,-0.02,233.87,25.5,6000.0,140.0,0.575,0.1,0.007,0.00595
0,0.428139131417,0.492113944158,0.0316325621,1.0,7.0,86.25,23.0,40.0,0.0,-0.02,233.87,25.5,6000.0,140.0,0.575,0.1,0.007,0.00595
0,0.617864638362,0.710189239497,0.0250486789,1.0,7.0,86.25,23.0,40.0,0.0,-0.02,233.87,25.5,6000.0,140.0,0.575,0.1,0.007,0.00595
0,0.706622412206,0.812209669203,0.018631606,1.0,7.0,86.25,23.0,40.0,0.0,-0.02,233.87,25.5,6000.0,140.0,0.575,0.1,0.007,0.00595
1,0.00237064319548,0.00272487723618,0.0208399957,1.0,7.0,86.25,23.0,40.0,0.0,-0.02,233.87,34.5,6000.0,140.0,0.575,0.1,0.007,0.00595
1,0.0450851241045,0.0518219817293,0.0248867875,1.0,7.0,86.25,23.0,40.0,0.0,-0.02,233.87,34.5,6000.0,140.0,0.575,0.1,0.007,0.00595
1,0.0236659324638,0.0272022212228,0.0293413455,1.0,7.0,86.25,23.0,40.0,0.0,-0.02,233.87,34.5,6000.0,140.0,0.575,0.1,0.007,0.00595
1,0.0220467524685,0.0253410947913,0.0341155548,1.0,7.0,86.25,23.0,40.0,0.0,-0.02,233.87,34.5,6000.0,140.0,0.575,0.1,0.007,0.00595
1,0.0670942717948,0.0771198526377,0.0389115547,1.0,7.0,86.25,23.0,40.0,0.0,-0.02,233.87,34.5,6000.0,140.0,0.575,0.1,0.007,0.00595
1,0.0268893952253,0.0309073508336,0.0434408624,1.0,7.0,86.25,23.0,40.0,0.0,-0.02,233.87,34.5,6000.0,140.0,0.575,0.1,0.007,0.00595
1,0.0856410112318,0.0984379439446,0.0472863797,1.0,7.0,86.25,23.0,40.0,0.0,-0.02,233.87,34.5,6000.0,140.0,0.575,0.1,0.007,0.00595
1,0.147048532199,0.169021301378,0.0500155519,1.0,7.0,86.25,23.0,40.0,0.0,-0.02,233.87,34.5,6000.0,140.0,0.575,0.1,0.007,0.00595
1,0.0857784202949,0.0985958853965,0.0512518626,1.0,7.0,86.25,23.0,40.0,0.0,-0.02,233.87,34.5,6000.0,140.0,0.575,0.1,0.007,0.00595
1,0.155489304101,0.178723338047,0.0505884336,1.0,7.0,86.25,23.0,40.0,0.0,-0.02,233.87,34.5,6000.0,140.0,0.575,0.1,0.007,0.00595
1,0.356374108843,0.409625412463,0.0481919044,1.0,7.0,86.25,23.0,40.0,0.0,-0.02,233.87,34.5,6000.0,140.0,0.575,0.1,0.007,0.00595
1,0.302630879551,0.347851585691,0.0438448172,1.0,7.0,86.25,23.0,40.0,0.0,-0.02,233.87,34.5,6000.0,140.0,0.575,0.1,0.007,0.00595
1,0.371450683847,0.426954809019,0.0383375724,1.0,7.0,86.25,23.0,40.0,0.0,-0.02,233.87,34.5,6000.0,140.0,0.575,0.1,0.007,0.00595
1,0.417917129436,0.480364516593,0.0316325974,1.0,7.0,86.25,23.0,40.0,0.0,-0.02,233.87,34.5,6000.0,140.0,0.575,0.1,0.007,0.00595
1,0.636330921526,0.731414852329,0.0250486733,1.0,7.0,86.25,23.0,40.0,0.0,-0.02,233.87,34.5,6000.0,140.0,0.575,0.1,0.007,0.00595
1,0.713850879581,0.820518252392,0.0186315839,1.0,7.0,86.25,23.0,40.0,0.0,-0.02,233.87,34.5,6000.0,140.0,0.575,0.1,0.007,0.00595
2,0.00225752391136,0.00259485507053,0.0208400415,1.0,7.0,86.25,23.0,40.0,0.0,-0.02,233.87,34.5,6000.0,140.0,0.575,0.1,0.007,0.00805
2,0.0357445114621,0.0410856453587,0.0248868237,1.0,7.0,86.25,23.0,40.0,0.0,-0.02,233.87,34.5,6000.0,140.0,0.575,0.1,0.007,0.00805
2,0.021782094087,0.0250368897552,0.0293412763,1.0,7.0,86.25,23.0,40.0,0.0,-0.02,233.87,34.5,6000.0,140.0,0.575,0.1,0.007,0.00805
2,0.0194525377457,0.0223592387882,0.0341155045,1.0,7.0,86.25,23.0,40.0,0.0,-0.02,233.87,34.5,6000.0,140.0,0.575,0.1,0.007,0.00805
2,0.0684350044402,0.078660924644,0.0389115858,1.0,7.0,86.25,23.0,40.0,0.0,-0.02,233.87,34.5,6000.0,140.0,0.575,0.1,0.007,0.00805
2,0.0227640942122,0.0261656255313,0.0434408015,1.0,7.0,86.25,23.0,40.0,0.0,-0.02,233.87,34.5,6000.0,140.0,0.575,0.1,0.007,0.00805
2,0.0869071651323,0.0998932932555,0.0472864389,1.0,7.0,86.25,23.0,40.0,0.0,-0.02,233.87,34.5,6000.0,140.0,0.575,0.1,0.007,0.00805
2,0.155379525117,0.178597155307,0.0500155804,1.0,7.0,86.25,23.0,40.0,0.0,-0.02,233.87,34.5,6000.0,140.0,0.575,0.1,0.007,0.00805
2,0.0819955273088,0.0942477325388,0.0512519616,1.0,7.0,86.25,23.0,40.0,0.0,-0.02,233.87,34.5,6000.0,140.0,0.575,0.1,0.007,0.00805
2,0.157337645611,0.180847868518,0.0505885507,1.0,7.0,86.25,23.0,40.0,0.0,-0.02,233.87,34.5,6000.0,140.0,0.575,0.1,0.007,0.00805
2,0.374689296153,0.4306773519,0.0481918108,1.0,7.0,86.25,23.0,40.0,0.0,-0.02,233.87,34.5,6000.0,140.0,0.575,0.1,0.007,0.00805
2,0.294781416439,0.338829214298,0.0438447313,1.0,7.0,86.25,23.0,40.0,0.0,-0.02,233.87,34.5,6000.0,140.0,0.575,0.1,0.007,0.00805
2,0.369664424289,0.424901637113,0.0383376942,1.0,7.0,86.25,23.0,40.0,0.0,-0.02,233.87,34.5,6000.0,140.0,0.575,0.1,0.007,0.00805
2,0.420186449733,0.482972930727,0.0316324991,1.0,7.0,86.25,23.0,40.0,0.0,-0.02,233.87,34.5,6000.0,140.0,0.575,0.1,0.007,0.00805
2,0.636201050579,0.731265575378,0.0250486133,1.0,7.0,86.25,23.0,40.0,0.0,-0.02,233.87,34.5,6000.0,140.0,0.575,0.1,0.007,0.00805
2,0.713698650574,0.820343276522,0.0186315789,1.0,7.0,86.25,23.0,40.0,0.0,-0.02,233.87,34.5,6000.0,140.0,0.575,0.1,0.007,0.00805
3,0.00133754782884,0.00153741129751,0.0208400428,1.0,7.0,86.25,17.0,40.0,0.0,-0.02,233.87,34.5,6000.0,140.0,0.575,0.1,0.007,0.00805
3,0.0452640228366,0.0520276124559,0.0248868567,1.0,7.0,86.25,17.0,40.0,0.0,-0.02,233.87,34.5,6000.0,140.0,0.575,0.1,0.007,0.00805
