,Eabs,Ei,area,clear_sky,density,incli_base,incli_top,infl,isolated,lm_slp,phyllotactic_angle,phyllotactic_deviation,plant_area,plant_height,rmax,skew,w0_slp,wl_slp
0,0.0,0.0,0.0277866684,1.0,11.0,86.25,23.0,40.0,0.0,-0.02,233.87,25.5,8000.0,140.0,0.575,0.1,0.007,0.00595
0,0.0,0.0,0.0331824504,1.0,11.0,86.25,23.0,40.0,0.0,-0.02,233.87,25.5,8000.0,140.0,0.575,0.1,0.007,0.00595
0,0.0,0.0,0.0391217557,1.0,11.0,86.25,23.0,40.0,0.0,-0.02,233.87,25.5,8000.0,140.0,0.575,0.1,0.007,0.00595
0,0.0,0.0,0.0454874417,1.0,11.0,86.25,23.0,40.0,0.0,-0.02,233.87,25.5,8000.0,140.0,0.575,0.1,0.007,0.00595
0,0.0,0.0,0.0518821041,1.0,11.0,86.25,23.0,40.0,0.0,-0.02,233.87,25.5,8000.0,140.0,0.575,0.1,0.007,0.00595
0,0.000402942576996,0.000463152387352,0.0579211216,1.0,11.0,86.25,23.0,40.0,0.0,-0.02,233.87,25.5,8000.0,140.0,0.575,0.1,0.007,0.00595
0,0.00467876701194,0.00537789311718,0.0630484874,1.0,11.0,86.25,23.0,40.0,0.0,-0.02,233.87,25.5,8000.0,140.0,0.575,0.1,0.007,0.00595
0,0.0172204328065,0.019793600927,0.0666873776,1.0,11.0,86.25,23.0,40.0,0.0,-0.02,233.87,25.5,8000.0,140.0,0.575,0.1,0.007,0.00595
0,0.00380079201227,0.00436872645088,0.0683357598,1.0,11.0,86.25,23.0,40.0,0.0,-0.02,233.87,25.5,8000.0,140.0,0.575,0.1,0.007,0.00595
0,0.0326206261161,0.0374949725473,0.0674515334,1.0,11.0,86.25,23.0,40.0,0.0,-0.02,233.87,25.5,8000.0,140.0,0.575,0.1,0.007,0.00595
0,0.16660619924,0.191501378436,0.0642557741,1.0,11.0,86.25,23.0,40.0,0.0,-0.02,233.87,25.5,8000.0,140.0,0.575,0.1,0.007,0.00595
0,0.107310679966,0.123345609156,0.0584597229,1.0,11.0,86.25,23.0,40.0,0.0,-0.02,233.87,25.5,8000.0,140.0,0.575,0.1,0.007,0.00595
0,0.20690455597,0.237821328701,0.0511166797,1.0,11.0,86.25,23.0,40.0,0.0,-0.02,233.87,25.5,8000.0,140.0,0.575,0.1,0.007,0.00595
0,0.361801221403,0.415863472877,0.0421768728,1.0,11.0,86.25,23.0,40.0,0.0,-0.02,233.87,25.5,8000.0,140.0,0.575,0.1,0.007,0.00595
0,0.510431041196,0.586702346202,0.0333982555,1.0,11.0,86.25,23.0,40.0,0.0,-0.02,233.87,25.5,8000.0,140.0,0.575,0.1,0.007,0.00595
0,0.569410005319,0.654494258987,0.0248421714,1.0,11.0,86.25,23.0,40.0,0.0,-0.02,233.87,25.5,8000.0,140.0,0.575,0.1,0.007,0.00595
1,0.0,0.0,0.0277866861,1.0,11.0,86.25,23.0,40.0,0.0,-0.02,233.87,34.5,8000.0,140.0,0.575,0.1,0.007,0.00595
1,0.0,0.0,0.0331824988,1.0,11.0,86.25,23.0,40.0,0.0,-0.02,233.87,34.5,8000.0,140.0,0.575,0.1,0.007,0.00595
1,0.0,0.0,0.0391217709,1.0,11.0,86.25,23.0,40.0,0.0,-0.02,233.87,34.5,8000.0,140.0,0.575,0.1,0.007,0.00595
1,0.0,0.0,0.0454873624,1.0,11.0,86.25,23.0,40.0,0.0,-0.02,233.87,34.5,8000.0,140.0,0.575,0.1,0.007,0.00595
1,0.0,0.0,0.0518821308,1.0,11.0,86.25,23.0,40.0,0.0,-0.02,233.87,34.5,8000.0,140.0,0.575,0.1,0.007,0.00595
1,0.000911096318463,0.00104723714766,0.0579211143,1.0,11.0,86.25,23.0,40.0,0.0,-0.02,233.87,34.5,8000.0,140.0,0.575,0.1,0.007,0.00595
1,0.00521922527637,0.00599910951307,0.0630486125,1.0,11.0,86.25,23.0,40.0,0.0,-0.02,233.87,34.5,8000.0,140.0,0.575,0.1,0.007,0.00595
1,0.0184086313018,0.0211593463239,0.0666874145,1.0,11.0,86.25,23.0,40.0,0.0,-0.02,233.87,34.5,8000.0,140.0,0.575,0.1,0.007,0.00595
1,0.00830668550688,0.00954791437572,0.0683358298,1.0,11.0,86.25,23.0,40.0,0.0,-0.02,233.87,34.5,8000.0,140.0,0.575,0.1,0.007,0.00595
1,0.0289820097322,0.0333126548646,0.067451414,1.0,11.0,86.25,23.0,40.0,0.0,-0.02,233.87,34.5,8000.0,140.0,0.575,0.1,0.007,0.00595
1,0.173628889686,0.199573436421,0.0642558342,1.0,11.0,86.25,23.0,40.0,0.0,-0.02,233.87,34.5,8000.0,140.0,0.575,0.1,0.007,0.00595
1,0.101194285358,0.116315270526,0.0584597739,1.0,11.0,86.25,23.0,40.0,0.0,-0.02,233.87,34.5,8000.0,140.0,0.575,0.1,0.007,0.00595
1,0.187782219481,0.215841631587,0.0511166822,1.0,11.0,86.25,23.0,40.0,0.0,-0.02,233.87,34.5,8000.0,140.0,0.575,0.1,0.007,0.00595
1,0.363495350574,0.417810747786,0.0421768695,1.0,11.0,86.25,23.0,40.0,0.0,-0.02,233.87,34.5,8000.0,140.0,0.575,0.1,0.007,0.00595
1,0.52123611115,0.599121966839,0.0333982555,1.0,11.0,86.25,23.0,40.0,0.0,-0.02,233.87,34.5,8000.0,140.0,0.575,0.1,0.007,0.00595
1,0.580393933434,0.667119463717,0.0248421641,1.0,11.0,86.25,23.0,40.0,0.0,-0.02,233.87,34.5,8000.0,140.0,0.575,0.1,0.007,0.00595
2,0.0,0.0,0.0277866754,1.0,11.0,86.25,23.0,40.0,0.0,-0.02,233.87,34.5,8000.0,140.0,0.575,0.1,0.007,0.00805
2,0.0,0.0,0.0331824873,1.0,11.0,86.25,23.0,40.0,0.0,-0.02,233.87,34.5,8000.0,140.0,0.575,0.1,0.007,0.00805
2,0.0,0.0,0.0391217934,1.0,11.0,86.25,23.0,40.0,0.0,-0.02,233.87,34.5,8000.0,140.0,0.575,0.1,0.007,0.00805
2,0.0,0.0,0.0454874421,1.0,11.0,86.25,23.0,40.0,0.0,-0.02,233.87,34.5,8000.0,140.0,0.575,0.1,0.007,0.00805
2,0.0,0.0,0.0518821356,1.0,11.0,86.25,23.0,40.0,0.0,-0.02,233.87,34.5,8000.0,140.0,0.575,0.1,0.007,0.00805
2,0.000529569008718,0.000608700010021,0.057921218,1.0,11.0,86.25,23.0,40.0,0.0,-0.02,233.87,34.5,8000.0,140.0,0.575,0.1,0.007,0.00805
2,0.0047586690136,0.00546973449839,0.0630484909,1.0,11.0,86.25,23.0,40.0,0.0,-0.02,233.87,34.5,8000.0,140.0,0.575,0.1,0.007,0.00805
2,0.0185332403599,0.0213025751263,0.0666874083,1.0,11.0,86.25,23.0,40.0,0.0,-0.02,233.87,34.5,8000.0,140.0,0.575,0.1,0.007,0.00805
2,0.00568537930649,0.0065349187431,0.0683359062,1.0,11.0,86.25,23.0,40.0,0.0,-0.02,233.87,34.5,8000.0,140.0,0.575,0.1,0.007,0.00805
2,0.0286489823706,0.0329298647938,0.0674514381,1.0,11.0,86.25,23.0,40.0,0.0,-0.02,233.87,34.5,8000.0,140.0,0.575,0.1,0.007,0.00805
2,0.184933821706,0.212567611157,0.0642559405,1.0,11.0,86.25,23.0,40.0,0.0,-0.02,233.87,34.5,8000.0,140.0,0.575,0.1,0.007,0.00805
2,0.096904396611,0.111384363921,0.0584598701,1.0,11.0,86.25,23.0,40.0,0.0,-0.02,233.87,34.5,8000.0,140.0,0.575,0.1,0.007,0.00805
2,0.186530102572,0.214402416749,0.0511170842,1.0,11.0,86.25,23.0,40.0,0.0,-0.02,233.87,34.5,8000.0,140.0,0.575,0.1,0.007,0.00805
2,0.365194798173,0.419764135831,0.0421769304,1.0,11.0,86.25,23.0,40.0,0.0,-0.02,233.87,34.5,8000.0,140.0,0.575,0.1,0.007,0.00805
2,0.521237996346,0.599124133731,0.0333983417,1.0,11.0,86.25,23.0,40.0,0.0,-0.02,233.87,34.5,8000.0,140.0,0.575,0.1,0.007,0.00805
2,0.581738573293,0.668665026773,0.0248420755,1.0,11.0,86.25,23.0,40.0,0.0,-0.02,233.87,34.5,8000.0,140.0,0.575,0.1,0.007,0.00805
3,0.0,0.0,0.0277866661,1.0,11.0,86.25,17.0,40.0,0.0,-0.02,233.87,34.5,8000.0,140.0,0.575,0.1,0.007,0.00805
3,0.0,0.0,0.0331824389,1.0,11.0,86.25,17.0,40.0,0.0,-0.02,233.87,34.5,8000.0,140.0,0.575,0.1,0.007,0.00805
3,0.0,0.0,0.0391215759,1.0,11.0,86.25,17.0,40.0,0.0,-0.02,233.87,34.5,8000.0,140.0,0.575,0.1,0.007,0.00805
3,0.0,0.0,0.0454672397,1.0,11.0,86.25,17.0,40.0,0.0,-0.02,233.87,34.5,8000.0,140.0,0.575,0.1,0.007,0.00805
3,0.0,0.0,0.0518982225,1.0,11.0,86.25,17.0,40.0,0.0,-0.02,233.87,34.5,8000.0,140.0,0.575,0.1,0.007,0.00805
3,0.000668031091161,0.00076785182892,0.0579028499,1.0,11.0,86.25,17.0,40.0,0.0,-0.02,233.87,34.5,8000.0,140.0,0.575,0.1,0.007,0.00805
3,0.00802645752904,0.00922581325177,0.0630132692,1.0,11.0,86.25,17.0,40.0,0.0,-0.02,233.87,34.5,8000.0,140.0,0.575,0.1,0.007,0.00805
3,0.0258533656838,0.0297165122803,0.0666742319,1.0,11.0,86.25,17.0,40.0,0.0,-0.02,233.87,34.5,8000.0,140.0,0.575,0.1,0.007,0.00805
3,0.00405019701158,0.00465539886389,0.0683312869,1.0,11.0,86.25,17.0,40.0,0.0,-0.02,233.87,34.5,8000.0,140.0,0.575,0.1,0.007,0.00805
3,0.0470399729451,0.0540689344197,0.0675199886,1.0,11.0,86.25,17.0,40.0,0.0,-0.02,233.87,34.5,8000.0,140.0,0.575,0.1,0.007,0.00805
3,0.229374595406,0.263648960236,0.0641999345,1.0,11.0,86.25,17.0,40.0,0.0,-0.02,233.87,34.5,8000.0,140.0,0.575,0.1,0.007,0.00805
3,0.115533410589,0.132797023666,0.0585662923,1.0,11.0,86.25,17.0,40.0,0.0,-0.02,233.87,34.5,8000.0,140.0,0.575,0.1,0.007,0.00805
