,Eabs,Ei,area,clear_sky,density,incli_base,incli_top,infl,isolated,lm_slp,phyllotactic_angle,phyllotactic_deviation,plant_area,plant_height,rmax,skew,w0_slp,wl_slp
0,0.000258380000476,0.000296988506294,0.0347333423,1.0,5.5,86.25,23.0,40.0,0.0,-0.02,233.87,25.5,10000.0,140.0,0.575,0.1,0.007,0.00595
0,0.0138008123542,0.015863002706,0.0414781116,1.0,5.5,86.25,23.0,40.0,0.0,-0.02,233.87,25.5,10000.0,140.0,0.575,0.1,0.007,0.00595
0,0.0116310963329,0.0133690762448,0.0489021417,1.0,5.5,86.25,23.0,40.0,0.0,-0.02,233.87,25.5,10000.0,140.0,0.575,0.1,0.007,0.00595
0,0.00548449178441,0.0063040135453,0.0568593398,1.0,5.5,86.25,23.0,40.0,0.0,-0.02,233.87,25.5,10000.0,140.0,0.575,0.1,0.007,0.00595
0,0.0182233721403,0.020946404759,0.0648525415,1.0,5.5,86.25,23.0,40.0,0.0,-0.02,233.87,25.5,10000.0,140.0,0.575,0.1,0.007,0.00595
0,0.0254431723799,0.029245025724,0.0724013216,1.0,5.5,86.25,23.0,40.0,0.0,-0.02,233.87,25.5,10000.0,140.0,0.575,0.1,0.007,0.00595
0,0.0365865636591,0.0420535214472,0.0788105739,1.0,5.5,86.25,23.0,40.0,0.0,-0.02,233.87,25.5,10000.0,140.0,0.575,0.1,0.007,0.00595
0,0.0643251385262,0.0739369408348,0.083359294,1.0,5.5,86.25,23.0,40.0,0.0,-0.02,233.87,25.5,10000.0,140.0,0.575,0.1,0.007,0.00595
0,0.0587386724981,0.0675157155151,0.0854198159,1.0,5.5,86.25,23.0,40.0,0.0,-0.02,233.87,25.5,10000.0,140.0,0.575,0.1,0.007,0.00595
0,0.0988842153192,0.113660017608,0.08431428,1.0,5.5,86.25,23.0,40.0,0.0,-0.02,233.87,25.5,10000.0,140.0,0.575,0.1,0.007,0.00595
0,0.233720003417,0.268643682089,0.0803197953,1.0,5.5,86.25,23.0,40.0,0.0,-0.02,233.87,25.5,10000.0,140.0,0.575,0.1,0.007,0.00595
0,0.28372386313,0.326119382908,0.0730748278,1.0,5.5,86.25,23.0,40.0,0.0,-0.02,233.87,25.5,10000.0,140.0,0.575,0.1,0.007,0.00595
0,0.359191686455,0.412864007419,0.0638962013,1.0,5.5,86.25,23.0,40.0,0.0,-0.02,233.87,25.5,10000.0,140.0,0.575,0.1,0.007,0.00595
0,0.389538881694,0.447745841027,0.052720607,1.0,5.5,86.25,23.0,40.0,0.0,-0.02,233.87,25.5,10000.0,140.0,0.575,0.1,0.007,0.00595
0,0.573248541361,0.658906369381,0.0417477809,1.0,5.5,86.25,23.0,40.0,0.0,-0.02,233.87,25.5,10000.0,140.0,0.575,0.1,0.007,0.00595
0,0.67639378523,0.777464120954,0.0310526167,1.0,5.5,86.25,23.0,40.0,0.0,-0.02,233.87,25.5,10000.0,140.0,0.575,0.1,0.007,0.00595
1,0.00175076041921,0.00201236829795,0.0347333412,1.0,5.5,86.25,23.0,40.0,0.0,-0.02,233.87,34.5,10000.0,140.0,0.575,0.1,0.007,0.00595
1,0.017365727452,0.0199606062666,0.0414779963,1.0,5.5,86.25,23.0,40.0,0.0,-0.02,233.87,34.5,10000.0,140.0,0.575,0.1,0.007,0.00595
1,0.0155360140911,0.0178574874611,0.0489020782,1.0,5.5,86.25,23.0,40.0,0.0,-0.02,233.87,34.5,10000.0,140.0,0.575,0.1,0.007,0.00595
1,0.0089989537171,0.0103436249622,0.0568592871,1.0,5.5,86.25,23.0,40.0,0.0,-0.02,233.87,34.5,10000.0,140.0,0.575,0.1,0.007,0.00595
1,0.0231284430127,0.026584417256,0.0648526862,1.0,5.5,86.25,23.0,40.0,0.0,-0.02,233.87,34.5,10000.0,140.0,0.575,0.1,0.007,0.00595
1,0.0206475590417,0.0237328264847,0.0724012885,1.0,5.5,86.25,23.0,40.0,0.0,-0.02,233.87,34.5,10000.0,140.0,0.575,0.1,0.007,0.00595
1,0.0518553412834,0.0596038405556,0.0788104918,1.0,5.5,86.25,23.0,40.0,0.0,-0.02,233.87,34.5,10000.0,140.0,0.575,0.1,0.007,0.00595
1,0.0646325003723,0.074290230313,0.0833593239,1.0,5.5,86.25,23.0,40.0,0.0,-0.02,233.87,34.5,10000.0,140.0,0.575,0.1,0.007,0.00595
1,0.0640902776026,0.0736669857501,0.0854199932,1.0,5.5,86.25,23.0,40.0,0.0,-0.02,233.87,34.5,10000.0,140.0,0.575,0.1,0.007,0.00595
1,0.0874162195724,0.100478413302,0.084314245,1.0,5.5,86.25,23.0,40.0,0.0,-0.02,233.87,34.5,10000.0,140.0,0.575,0.1,0.007,0.00595
1,0.23049458002,0.264936298873,0.0803198116,1.0,5.5,86.25,23.0,40.0,0.0,-0.02,233.87,34.5,10000.0,140.0,0.575,0.1,0.007,0.00595
1,0.271601970667,0.31218617318,0.0730746907,1.0,5.5,86.25,23.0,40.0,0.0,-0.02,233.87,34.5,10000.0,140.0,0.575,0.1,0.007,0.00595
1,0.341286653772,0.392283510082,0.063896194,1.0,5.5,86.25,23.0,40.0,0.0,-0.02,233.87,34.5,10000.0,140.0,0.575,0.1,0.007,0.00595
1,0.387401326341,0.445288880852,0.0527206279,1.0,5.5,86.25,23.0,40.0,0.0,-0.02,233.87,34.5,10000.0,140.0,0.575,0.1,0.007,0.00595
1,0.600561009937,0.690300011422,0.0417477614,1.0,5.5,86.25,23.0,40.0,0.0,-0.02,233.87,34.5,10000.0,140.0,0.575,0.1,0.007,0.00595
1,0.689745184312,0.792810556681,0.0310526211,1.0,5.5,86.25,23.0,40.0,0.0,-0.02,233.87,34.5,10000.0,140.0,0.575,0.1,0.007,0.00595
2,0.00060595749579,0.000696502868724,0.0347333355,1.0,5.5,86.25,23.0,40.0,0.0,-0.02,233.87,34.5,10000.0,140.0,0.575,0.1,0.007,0.00805
2,0.0160162394262,0.0184094706048,0.0414780665,1.0,5.5,86.25,23.0,40.0,0.0,-0.02,233.87,34.5,10000.0,140.0,0.575,0.1,0.007,0.00805
2,0.0128507049205,0.014770925196,0.0489022031,1.0,5.5,86.25,23.0,40.0,0.0,-0.02,233.87,34.5,10000.0,140.0,0.575,0.1,0.007,0.00805
2,0.00971194401372,0.0111631540388,0.0568592766,1.0,5.5,86.25,23.0,40.0,0.0,-0.02,233.87,34.5,10000.0,140.0,0.575,0.1,0.007,0.00805
2,0.0229260666441,0.0263518007403,0.0648526425,1.0,5.5,86.25,23.0,40.0,0.0,-0.02,233.87,34.5,10000.0,140.0,0.575,0.1,0.007,0.00805
2,0.0177195657481,0.0203673169518,0.0724013656,1.0,5.5,86.25,23.0,40.0,0.0,-0.02,233.87,34.5,10000.0,140.0,0.575,0.1,0.007,0.00805
2,0.0479099080429,0.0550688598194,0.0788105956,1.0,5.5,86.25,23.0,40.0,0.0,-0.02,233.87,34.5,10000.0,140.0,0.575,0.1,0.007,0.00805
2,0.0728747787102,0.08376411346,0.0833591414,1.0,5.5,86.25,23.0,40.0,0.0,-0.02,233.87,34.5,10000.0,140.0,0.575,0.1,0.007,0.00805
2,0.0646187393179,0.0742744130091,0.0854198401,1.0,5.5,86.25,23.0,40.0,0.0,-0.02,233.87,34.5,10000.0,140.0,0.575,0.1,0.007,0.00805
2,0.0842107154757,0.0967939258341,0.0843143473,1.0,5.5,86.25,23.0,40.0,0.0,-0.02,233.87,34.5,10000.0,140.0,0.575,0.1,0.007,0.00805
2,0.243602955578,0.280003397216,0.0803198837,1.0,5.5,86.25,23.0,40.0,0.0,-0.02,233.87,34.5,10000.0,140.0,0.575,0.1,0.007,0.00805
2,0.263210119375,0.302540367098,0.0730743049,1.0,5.5,86.25,23.0,40.0,0.0,-0.02,233.87,34.5,10000.0,140.0,0.575,0.1,0.007,0.00805
