,Eabs,Ei,area,clear_sky,density,incli_base,incli_top,infl,isolated,lm_slp,phyllotactic_angle,phyllotactic_deviation,plant_area,plant_height,rmax,skew,w0_slp,wl_slp
0,0.000730329872868,0.000839459623986,0.0277866684,1.0,5.5,86.25,23.0,40.0,0.0,-0.02,233.87,25.5,8000.0,140.0,0.575,0.1,0.007,0.00595
0,0.0270434452597,0.0310844198387,0.0331824602,1.0,5.5,86.25,23.0,40.0,0.0,-0.02,233.87,25.5,8000.0,140.0,0.575,0.1,0.007,0.00595
0,0.0314277930018,0.0361239000021,0.0391217662,1.0,5.5,86.25,23.0,40.0,0.0,-0.02,233.87,25.5,8000.0,140.0,0.575,0.1,0.007,0.00595
0,0.020205576148,0.0232248001701,0.0454873977,1.0,5.5,86.25,23.0,40.0,0.0,-0.02,233.87,25.5,8000.0,140.0,0.575,0.1,0.007,0.00595
0,0.0460795769622,0.052965030991,0.0518820936,1.0,5.5,86.25,23.0,40.0,0.0,-0.02,233.87,25.5,8000.0,140.0,0.575,0.1,0.007,0.00595
0,0.050389819805,0.0579193331092,0.0579210438,1.0,5.5,86.25,23.0,40.0,0.0,-0.02,233.87,25.5,8000.0,140.0,0.575,0.1,0.007,0.00595
0,0.0567409471339,0.0652194794642,0.0630484995,1.0,5.5,86.25,23.0,40.0,0.0,-0.02,233.87,25.5,8000.0,140.0,0.575,0.1,0.007,0.00595
0,0.11676590323,0.134213681873,0.0666873997,1.0,5.5,86.25,23.0,40.0,0.0,-0.02,233.87,25.5,8000.0,140.0,0.575,0.1,0.007,0.00595
0,0.0933220938535,0.107266774544,0.0683356949,1.0,5.5,86.25,23.0,40.0,0.0,-0.02,233.87,25.5,8000.0,140.0,0.575,0.1,0.007,0.00595
0,0.140067413574,0.160997027096,0.0674515197,1.0,5.5,86.25,23.0,40.0,0.0,-0.02,233.87,25.5,8000.0,140.0,0.575,0.1,0.007,0.00595
0,0.313780859589,0.3606676547,0.0642557927,1.0,5.5,86.25,23.0,40.0,0.0,-0.02,233.87,25.5,8000.0,140.0,0.575,0.1,0.007,0.00595
0,0.326536354945,0.375329143615,0.0584596862,1.0,5.5,86.25,23.0,40.0,0.0,-0.02,233.87,25.5,8000.0,140.0,0.575,0.1,0.007,0.00595
0,0.41481240369,0.47679586631,0.0511166398,1.0,5.5,86.25,23.0,40.0,0.0,-0.02,233.87,25.5,8000.0,140.0,0.575,0.1,0.007,0.00595
0,0.415848188489,0.47798642355,0.0421768728,1.0,5.5,86.25,23.0,40.0,0.0,-0.02,233.87,25.5,8000.0,140.0,0.575,0.1,0.007,0.00595
0,0.606183203357,0.69676230271,0.0333982449,1.0,5.5,86.25,23.0,40.0,0.0,-0.02,233.87,25.5,8000.0,140.0,0.575,0.1,0.007,0.00595
0,0.714552597611,0.821324824841,0.0248421718,1.0,5.5,86.25,23.0,40.0,0.0,-0.02,233.87,25.5,8000.0,140.0,0.575,0.1,0.007,0.00595
1,0.00129788895553,0.00149182638567,0.0277866861,1.0,5.5,86.25,23.0,40.0,0.0,-0.02,233.87,34.5,8000.0,140.0,0.575,0.1,0.007,0.00595
1,0.0363476592147,0.0417789186376,0.0331824819,1.0,5.5,86.25,23.0,40.0,0.0,-0.02,233.87,34.5,8000.0,140.0,0.575,0.1,0.007,0.00595
1,0.0272786055382,0.0313547190094,0.03912176,1.0,5.5,86.25,23.0,40.0,0.0,-0.02,233.87,34.5,8000.0,140.0,0.575,0.1,0.007,0.00595
1,0.0226939735093,0.0260850270222,0.0454873118,1.0,5.5,86.25,23.0,40.0,0.0,-0.02,233.87,34.5,8000.0,140.0,0.575,0.1,0.007,0.00595
